,id
0,NLA_397681429EDR_F0020000AUT_04096M1
1,NLA_397681455EDR_F0020000AUT_04096M1
2,NLA_397681486EDR_F0020000AUT_04096M1
3,NLA_397681520EDR_F0020000AUT_04096M1
4,NLA_397681553EDR_F0020000AUT_04096M1
5,NLA_398561738EDR_F0030004NCAM00400M1
6,NLA_398561766EDR_F0030004NCAM00400M1
7,NLA_398561794EDR_F0030004NCAM00400M1
8,NLA_398561822EDR_F0030004NCAM00400M1
9,NLA_398919509EDR_F0030078NCAM00300M1
10,NLA_398919544EDR_F0030078NCAM00300M1
11,NLA_398919572EDR_F0030078NCAM00300M1
12,NLA_398919607EDR_F0030078NCAM00300M1
13,NLA_398919642EDR_F0030078NCAM00300M1
14,NLA_399014158EDR_F0030078NCAM00402M1
15,NLA_399014186EDR_F0030078NCAM00402M1
16,NLA_399014214EDR_F0030078NCAM00402M1
17,NLA_399014249EDR_F0030078NCAM00402M1
18,NLA_399365300EDR_F0030100NCAM00403M1
19,NLA_399455517EDR_F0030260NCAM00412M1
20,NLA_399455545EDR_F0030260NCAM00412M1
21,NLA_399455573EDR_F0030260NCAM00412M1
22,NLA_399455608EDR_F0030260NCAM00412M1
23,NLA_399455803EDR_F0030260NCAM00410M1
24,NLA_399621413EDR_F0030308NCAM00405M1
25,NLA_399622593EDR_F0030350NCAM00404M1
26,NLA_399627567EDR_F0030372NCAM00407M1
27,NLA_399627595EDR_F0030372NCAM00407M1
28,NLA_399627623EDR_F0030372NCAM00407M1
29,NLA_399627657EDR_F0030372NCAM00406M1
30,NLA_399627692EDR_F0030372NCAM00406M1
31,NLA_399807144EDR_F0030530NCAM00414M1
32,NLA_399807171EDR_F0030530NCAM00414M1
33,NLA_399807200EDR_F0030530NCAM00414M1
34,NLA_399807228EDR_F0030530NCAM00414M1
35,NLA_399807263EDR_F0030530NCAM00414M1
36,NLA_400071597EDR_F0040000NCAM00419M1
37,NLA_400071632EDR_F0040000NCAM00419M1
38,NLA_400071660EDR_F0040000NCAM00419M1
39,NLA_400071695EDR_F0040000NCAM00419M1
40,NLA_400071730EDR_F0040000NCAM00419M1
41,NLA_400871538EDR_F0040404NCAM00409M1
42,NLA_400871566EDR_F0040404NCAM00409M1
43,NLA_400871594EDR_F0040404NCAM00409M1
44,NLA_400871629EDR_F0040404NCAM00421M1
45,NLA_400871664EDR_F0040404NCAM00421M1
46,NLA_400958694EDR_F0040468NCAM00422M1
47,NLA_400958722EDR_F0040468NCAM00422M1
48,NLA_400958750EDR_F0040468NCAM00422M1
49,NLA_401051194EDR_F0040916NCAM00423M1
50,NLA_401051222EDR_F0040916NCAM00423M1
51,NLA_401051257EDR_F0040916NCAM00423M1
52,NLA_401051628EDR_F0040916NCAM00424M1
53,NLA_401051663EDR_F0040916NCAM00424M1
54,NLA_401137965EDR_F0041238NCAM00425M1
55,NLA_401137993EDR_F0041238NCAM00425M1
56,NLA_401138021EDR_F0041238NCAM00425M1
57,NLA_401138049EDR_F0041238NCAM00425M1
58,NLA_401232953EDR_F0041632NCAM00427M1
59,NLA_401232988EDR_F0041632NCAM00427M1
60,NLA_401233023EDR_F0041632NCAM00427M1
61,NLA_401316692EDR_F0042002NCAM00429M1
62,NLA_401316724EDR_F0042002NCAM00429M1
63,NLA_401316753EDR_F0042002NCAM00429M1
64,NLA_401316780EDR_F0042002NCAM00430M1
65,NLA_401316808EDR_F0042002NCAM00430M1
66,NLA_401317063EDR_F0042002NCAM00431M1
67,NLA_401317091EDR_F0042002NCAM00431M1
68,NLA_401504128EDR_F0042100NCAM00433M1
69,NLA_401504170EDR_F0042100NCAM00433M1
70,NLA_401756635EDR_F0042394NCAM00307M1
71,NLA_401758063EDR_F0042514NCAM00307M1
72,NLA_401759030EDR_F0042634NCAM00307M1
73,NLA_401848341EDR_F0042778NCAM00409M1
74,NLA_401848369EDR_F0042778NCAM00409M1
75,NLA_401848397EDR_F0042778NCAM00409M1
76,NLA_401855249EDR_F0042778NCAM00434M1
77,NLA_401855285EDR_F0042778NCAM00434M1
78,NLA_401936810EDR_F0042956NCAM00435M1
79,NLA_401936838EDR_F0042956NCAM00435M1
80,NLA_401936866EDR_F0042956NCAM00435M1
81,NLA_401936894EDR_F0042956NCAM00435M1
82,NLA_401936922EDR_F0042956NCAM00435M1
83,NLA_401936950EDR_F0042956NCAM00435M1
84,NLA_402109542EDR_F0043076NCAM00437M1
85,NLA_402109570EDR_F0043076NCAM00437M1
86,NLA_402109598EDR_F0043076NCAM00437M1
87,NLA_402109626EDR_F0043076NCAM00437M1
88,NLA_402109654EDR_F0043076NCAM00437M1
89,NLA_402117014EDR_F0043200NCAM00440M1
90,NLA_402117042EDR_F0043200NCAM00440M1
91,NLA_402117178EDR_F0043200NCAM00438M1
92,NLA_402117206EDR_F0043200NCAM00438M1
93,NLA_402117241EDR_F0043200NCAM00438M1
94,NLA_402200516EDR_F0043212NCAM00315M1
95,NLA_402204219EDR_F0043232NCAM00316M1
96,NLA_402204246EDR_F0043232NCAM00316M1
97,NLA_402204274EDR_F0043232NCAM00316M1
98,NLA_402380767EDR_F0043416NCAM00441M1
99,NLA_402380795EDR_F0043416NCAM00441M1
100,NLA_402380830EDR_F0043416NCAM00441M1
101,NLA_402380858EDR_F0043416NCAM00441M1
102,NLA_402380886EDR_F0043416NCAM00441M1
103,NLA_402388552EDR_F0043416NCAM00442M1
104,NLA_402461301EDR_F0043416NCAM00443M1
105,NLA_402562658EDR_F0050000NCAM00445M1
106,NLA_402562693EDR_F0050000NCAM00445M1
107,NLA_402562728EDR_F0050000NCAM00445M1
108,NLA_402562756EDR_F0050000NCAM00445M1
109,NLA_402736743EDR_F0050104NCAM00449M1
110,NLA_402736771EDR_F0050104NCAM00449M1
111,NLA_402736799EDR_F0050104NCAM00449M1
112,NLA_402736827EDR_F0050104NCAM00449M1
113,NLA_402815867EDR_F0050104NCAM00451M1
114,NLA_402815895EDR_F0050104NCAM00451M1
115,NLA_402815923EDR_F0050104NCAM00451M1
116,NLA_402816014EDR_F0050104NCAM00451M1
117,NLA_402816042EDR_F0050104NCAM00451M1
118,NLA_402816070EDR_F0050104NCAM00451M1
